name,description,signature,url,numpy,numpy_url
"cupy.arctan2 = <ufunc 'cupy_arctan2'>","Elementwise inverse-tangent of the ratio of two arrays.","cupy.arctan2 = <ufunc 'cupy_arctan2'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arctan2.html#cupy.arctan2","numpy.arctan2","https://docs.scipy.org/doc/numpy/reference/generated/numpy.arctan2.html#numpy.arctan2"
"cupy.arctanh = <ufunc 'cupy_arctanh'>","Elementwise inverse of hyperbolic tangent function.","cupy.arctanh = <ufunc 'cupy_arctanh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.arctanh.html#cupy.arctanh","numpy.arctanh","https://docs.scipy.org/doc/numpy/reference/generated/numpy.arctanh.html#numpy.arctanh"
"cupy.argmax","Returns the indices of the maximum along an axis.","cupy.argmax(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argmax.html#cupy.argmax","numpy.argmax()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.argmax.html#numpy.argmax"
"cupy.argmin","Returns the indices of the minimum along an axis.","cupy.argmin(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argmin.html#cupy.argmin","numpy.argmin()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.argmin.html#numpy.argmin"
"cupy.argpartition","Returns the indices that would partially sort an array.","cupy.argpartition(a\, kth\, axis=-1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argpartition.html#cupy.argpartition","numpy.argpartition()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.argpartition.html#numpy.argpartition"
"cupy.argsort","Returns the indices that would sort an array with a stable sorting.","cupy.argsort(a\, axis=-1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.argsort.html#cupy.argsort","numpy.argsort()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.argsort.html#numpy.argsort"
"cupy.around","Rounds to the given number of decimals.","cupy.around(a\, decimals=0\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.around.html#cupy.around","numpy.around()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.around.html#numpy.around"
"cupy.array","Creates an array on the current device.","cupy.array(obj\, dtype=None\, copy=True\, order='K'\, subok=False\, ndmin=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array.html#cupy.array","numpy.array()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.array.html#numpy.array"
"cupy.array_repr","Returns the string representation of an array.","cupy.array_repr(arr\, max_line_width=None\, precision=None\, suppress_small=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array_repr.html#cupy.array_repr","numpy.array_repr()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.array_repr.html#numpy.array_repr"
"cupy.array_split","Splits an array into multiple sub arrays along a given axis.","cupy.array_split(ary\, indices_or_sections\, axis=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array_split.html#cupy.array_split","numpy.array_split()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.array_split.html#numpy.array_split"
"cupy.array_str","Returns the string representation of the content of an array.","cupy.array_str(arr\, max_line_width=None\, precision=None\, suppress_small=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.array_str.html#cupy.array_str","numpy.array_str()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.array_str.html#numpy.array_str"
"cupy.asanyarray","Converts an object to array.","cupy.asanyarray(a\, dtype=None\, order=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asanyarray.html#cupy.asanyarray","numpy.asanyarray()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.asanyarray.html#numpy.asanyarray"
"cupy.asarray","Converts an object to array.","cupy.asarray(a\, dtype=None\, order=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asarray.html#cupy.asarray","numpy.asarray()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.asarray.html#numpy.asarray"
"cupy.ascontiguousarray","Returns a C-contiguous array.","cupy.ascontiguousarray(a\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ascontiguousarray.html#cupy.ascontiguousarray","numpy.ascontiguousarray()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.ascontiguousarray.html#numpy.ascontiguousarray"
"cupy.asfortranarray","Return an array laid out in Fortran order in memory.","cupy.asfortranarray(a\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asfortranarray.html#cupy.asfortranarray","numpy.asfortranarray()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.asfortranarray.html#numpy.asfortranarray"
"cupy.asnumpy","Returns an array on the host memory from an arbitrary source array.","cupy.asnumpy(a\, stream=None\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.asnumpy.html#cupy.asnumpy","",""
"cupy.atleast_1d","Converts arrays to arrays with dimensions >= 1.","cupy.atleast_1d(*arys)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.atleast_1d.html#cupy.atleast_1d","numpy.atleast_1d()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.atleast_1d.html#numpy.atleast_1d"
"cupy.atleast_2d","Converts arrays to arrays with dimensions >= 2.","cupy.atleast_2d(*arys)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.atleast_2d.html#cupy.atleast_2d","numpy.atleast_2d()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.atleast_2d.html#numpy.atleast_2d"
"cupy.atleast_3d","Converts arrays to arrays with dimensions >= 3.","cupy.atleast_3d(*arys)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.atleast_3d.html#cupy.atleast_3d","numpy.atleast_3d()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.atleast_3d.html#numpy.atleast_3d"
"cupy.average","Returns the weighted average along an axis.","cupy.average(a\, axis=None\, weights=None\, returned=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.average.html#cupy.average","numpy.average()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.average.html#numpy.average"
"cupy.base_repr","Return a string representation of a number in the given base system.","cupy.base_repr(number\, base=2\, padding=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.base_repr.html#cupy.base_repr","numpy.base_repr()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.base_repr.html#numpy.base_repr"
"cupy.binary_repr","Return the binary representation of the input number as a string.","cupy.binary_repr(num\, width=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.binary_repr.html#cupy.binary_repr","numpy.binary_repr()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.binary_repr.html#numpy.binary_repr"
"cupy.bincount","Count number of occurrences of each value in array of non-negative ints.","cupy.bincount(x\, weights=None\, minlength=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bincount.html#cupy.bincount","numpy.bincount()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.bincount.html#numpy.bincount"
"cupy.bitwise_and = <ufunc 'cupy_bitwise_and'>","Computes the bitwise AND of two arrays elementwise.","cupy.bitwise_and = <ufunc 'cupy_bitwise_and'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bitwise_and.html#cupy.bitwise_and","numpy.bitwise_and","https://docs.scipy.org/doc/numpy/reference/generated/numpy.bitwise_and.html#numpy.bitwise_and"
"cupy.bitwise_or = <ufunc 'cupy_bitwise_or'>","Computes the bitwise OR of two arrays elementwise.","cupy.bitwise_or = <ufunc 'cupy_bitwise_or'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bitwise_or.html#cupy.bitwise_or","numpy.bitwise_or","https://docs.scipy.org/doc/numpy/reference/generated/numpy.bitwise_or.html#numpy.bitwise_or"
"cupy.bitwise_xor = <ufunc 'cupy_bitwise_xor'>","Computes the bitwise XOR of two arrays elementwise.","cupy.bitwise_xor = <ufunc 'cupy_bitwise_xor'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.bitwise_xor.html#cupy.bitwise_xor","numpy.bitwise_xor","https://docs.scipy.org/doc/numpy/reference/generated/numpy.bitwise_xor.html#numpy.bitwise_xor"
"cupy.blackman","Returns the Blackman window.","cupy.blackman(M)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.blackman.html#cupy.blackman","numpy.blackman()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.blackman.html#numpy.blackman"
"cupy.broadcast_arrays","Broadcasts given arrays.","cupy.broadcast_arrays(*args)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.broadcast_arrays.html#cupy.broadcast_arrays","numpy.broadcast_arrays()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.broadcast_arrays.html#numpy.broadcast_arrays"
"cupy.broadcast_to","Broadcast an array to a given shape.","cupy.broadcast_to(array\, shape)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.broadcast_to.html#cupy.broadcast_to","numpy.broadcast_to()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.broadcast_to.html#numpy.broadcast_to"
"cupy.can_cast","Returns True if cast between data types can occur according to the casting rule. If from is a scalar or array scalar\, also returns True if the scalar value can be cast without overflow or truncation to an integer.","cupy.can_cast(from_\, to\, casting='safe')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.can_cast.html#cupy.can_cast","numpy.can_cast()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.can_cast.html#numpy.can_cast"
"cupy.cbrt = <ufunc 'cupy_cbrt'>","Elementwise cube root function.","cupy.cbrt = <ufunc 'cupy_cbrt'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cbrt.html#cupy.cbrt","numpy.cbrt","https://docs.scipy.org/doc/numpy/reference/generated/numpy.cbrt.html#numpy.cbrt"
"cupy.ceil = <ufunc 'cupy_ceil'>","Rounds each element of an array to its ceiling integer.","cupy.ceil = <ufunc 'cupy_ceil'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ceil.html#cupy.ceil","numpy.ceil","https://docs.scipy.org/doc/numpy/reference/generated/numpy.ceil.html#numpy.ceil"
"cupy.clear_memo","Clears the memoized results for all functions decorated by memoize.","cupy.clear_memo()","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.clear_memo.html#cupy.clear_memo","",""
"cupy.clip","Clips the values of an array to a given interval.","cupy.clip(a\, a_min=None\, a_max=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.clip.html#cupy.clip","numpy.clip()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.clip.html#numpy.clip"
"cupy.column_stack","Stacks 1-D and 2-D arrays as columns into a 2-D array.","cupy.column_stack(tup)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.column_stack.html#cupy.column_stack","numpy.column_stack()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.column_stack.html#numpy.column_stack"
"cupy.common_type","Return a scalar type which is common to the input arrays.","cupy.common_type(*arrays)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.common_type.html#cupy.common_type","numpy.common_type()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.common_type.html#numpy.common_type"
"cupy.concatenate","Joins arrays along an axis.","cupy.concatenate(tup\, axis=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.concatenate.html#cupy.concatenate","numpy.concatenate()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.concatenate.html#numpy.concatenate"
"cupy.conj = <ufunc 'cupy_conj'>","Returns the complex conjugate\, element-wise.","cupy.conj = <ufunc 'cupy_conj'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.conj.html#cupy.conj","numpy.conj","https://docs.scipy.org/doc/numpy/reference/generated/numpy.conj.html#numpy.conj"
"cupy.copy","Creates a copy of a given array on the current device.","cupy.copy(a\, order='K')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.copy.html#cupy.copy","",""
"cupy.copysign = <ufunc 'cupy_copysign'>","Returns the first argument with the sign bit of the second elementwise.","cupy.copysign = <ufunc 'cupy_copysign'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.copysign.html#cupy.copysign","numpy.copysign","https://docs.scipy.org/doc/numpy/reference/generated/numpy.copysign.html#numpy.copysign"
"cupy.copyto","Copies values from one array to another with broadcasting.","cupy.copyto(dst\, src\, casting='same_kind'\, where=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.copyto.html#cupy.copyto","numpy.copyto()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.copyto.html#numpy.copyto"
"cupy.corrcoef","Returns the Pearson product-moment correlation coefficients of an array.","cupy.corrcoef(a\, y=None\, rowvar=True\, bias=None\, ddof=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.corrcoef.html#cupy.corrcoef","numpy.corrcoef()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.corrcoef.html#numpy.corrcoef"
"cupy.cos = <ufunc 'cupy_cos'>","Elementwise cosine function.","cupy.cos = <ufunc 'cupy_cos'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cos.html#cupy.cos","numpy.cos","https://docs.scipy.org/doc/numpy/reference/generated/numpy.cos.html#numpy.cos"
"cupy.cosh = <ufunc 'cupy_cosh'>","Elementwise hyperbolic cosine function.","cupy.cosh = <ufunc 'cupy_cosh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cosh.html#cupy.cosh","numpy.cosh","https://docs.scipy.org/doc/numpy/reference/generated/numpy.cosh.html#numpy.cosh"
"cupy.count_nonzero","Counts the number of non-zero values in the array.","cupy.count_nonzero(a\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.count_nonzero.html#cupy.count_nonzero","",""
"cupy.cov","Returns the covariance matrix of an array.","cupy.cov(a\, y=None\, rowvar=True\, bias=False\, ddof=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cov.html#cupy.cov","numpy.cov()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.cov.html#numpy.cov"
"cupy.cross","Returns the cross product of two vectors.","cupy.cross(a\, b\, axisa=-1\, axisb=-1\, axisc=-1\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cross.html#cupy.cross","numpy.cross()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.cross.html#numpy.cross"
"cupy.cumprod","Returns the cumulative product of an array along a given axis.","cupy.cumprod(a\, axis=None\, dtype=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cumprod.html#cupy.cumprod","numpy.cumprod()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.cumprod.html#numpy.cumprod"
"cupy.cumsum","Returns the cumulative sum of an array along a given axis.","cupy.cumsum(a\, axis=None\, dtype=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.cumsum.html#cupy.cumsum","numpy.cumsum()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.cumsum.html#numpy.cumsum"
"cupy.deg2rad = <ufunc 'cupy_deg2rad'>","Converts angles from degrees to radians elementwise.","cupy.deg2rad = <ufunc 'cupy_deg2rad'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.deg2rad.html#cupy.deg2rad","numpy.deg2rad","https://docs.scipy.org/doc/numpy/reference/generated/numpy.deg2rad.html#numpy.deg2rad"
"cupy.degrees = <ufunc 'cupy_rad2deg'>","Converts angles from radians to degrees elementwise.","cupy.degrees = <ufunc 'cupy_rad2deg'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.degrees.html#cupy.degrees","numpy.degrees","https://docs.scipy.org/doc/numpy/reference/generated/numpy.degrees.html#numpy.degrees"
"cupy.diag","Returns a diagonal or a diagonal array.","cupy.diag(v\, k=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diag.html#cupy.diag","numpy.diag()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.diag.html#numpy.diag"
"cupy.diagflat","Creates a diagonal array from the flattened input.","cupy.diagflat(v\, k=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diagflat.html#cupy.diagflat","",""
"cupy.diagonal","Returns specified diagonals.","cupy.diagonal(a\, offset=0\, axis1=0\, axis2=1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diagonal.html#cupy.diagonal","numpy.diagonal()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.diagonal.html#numpy.diagonal"
"cupy.diff","Calculate the n-th discrete difference along the given axis.","cupy.diff(a\, n=1\, axis=-1\, prepend=None\, append=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.diff.html#cupy.diff","numpy.diff()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.diff.html#numpy.diff"
"cupy.divide = <ufunc 'cupy_true_divide'>","Elementwise true division (i.e. division as floating values).","cupy.divide = <ufunc 'cupy_true_divide'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.divide.html#cupy.divide","",""
"cupy.dot","Returns a dot product of two arrays.","cupy.dot(a\, b\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.dot.html#cupy.dot","numpy.dot()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.dot.html#numpy.dot"
"cupy.dsplit","Splits an array into multiple sub arrays along the third axis.","cupy.dsplit(ary\, indices_or_sections)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.dsplit.html#cupy.dsplit","numpy.dsplit()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.dsplit.html#numpy.dsplit"
"cupy.dstack","Stacks arrays along the third axis.","cupy.dstack(tup)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.dstack.html#cupy.dstack","numpy.dstack()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.dstack.html#numpy.dstack"
"cupy.einsum","Evaluates the Einstein summation convention on the operands. Using the Einstein summation convention\, many common multi-dimensional array operations can be represented in a simple fashion. This function provides a way to compute such summations.","cupy.einsum(subscripts\, *operands\, dtype=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.einsum.html#cupy.einsum","numpy.einsum()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.einsum.html#numpy.einsum"
"cupy.empty","Returns an array without initializing the elements.","cupy.empty(shape\, dtype=<class 'float'>\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.empty.html#cupy.empty","numpy.empty()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.empty.html#numpy.empty"
"cupy.empty_like","Returns a new array with same shape and dtype of a given array.","cupy.empty_like(a\, dtype=None\, order='K'\, subok=None\, shape=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.empty_like.html#cupy.empty_like","numpy.empty_like()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.empty_like.html#numpy.empty_like"
"cupy.equal = <ufunc 'cupy_equal'>","Tests elementwise if x1 == x2.","cupy.equal = <ufunc 'cupy_equal'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.equal.html#cupy.equal","numpy.equal","https://docs.scipy.org/doc/numpy/reference/generated/numpy.equal.html#numpy.equal"
"cupy.exp = <ufunc 'cupy_exp'>","Elementwise exponential function.","cupy.exp = <ufunc 'cupy_exp'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.exp.html#cupy.exp","numpy.exp","https://docs.scipy.org/doc/numpy/reference/generated/numpy.exp.html#numpy.exp"
"cupy.exp2 = <ufunc 'cupy_exp2'>","Elementwise exponentiation with base 2.","cupy.exp2 = <ufunc 'cupy_exp2'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.exp2.html#cupy.exp2","numpy.exp2","https://docs.scipy.org/doc/numpy/reference/generated/numpy.exp2.html#numpy.exp2"
"cupy.expand_dims","Expands given arrays.","cupy.expand_dims(a\, axis)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.expand_dims.html#cupy.expand_dims","numpy.expand_dims()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.expand_dims.html#numpy.expand_dims"
"cupy.expm1 = <ufunc 'cupy_expm1'>","Computes exp(x) - 1 elementwise.","cupy.expm1 = <ufunc 'cupy_expm1'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.expm1.html#cupy.expm1","numpy.expm1","https://docs.scipy.org/doc/numpy/reference/generated/numpy.expm1.html#numpy.expm1"
"cupy.eye","Returns a 2-D array with ones on the diagonals and zeros elsewhere.","cupy.eye(N\, M=None\, k=0\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.eye.html#cupy.eye","numpy.eye()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.eye.html#numpy.eye"
"cupy.fft.fft","Compute the one-dimensional FFT.","cupy.fft.fft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fft.html#cupy.fft.fft","numpy.fft.fft()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.fft.fft.html#numpy.fft.fft"
"cupy.fft.fft2","Compute the two-dimensional FFT.","cupy.fft.fft2(a\, s=None\, axes=(-2\, -1)\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fft2.html#cupy.fft.fft2","numpy.fft.fft2()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.fft.fft2.html#numpy.fft.fft2"
"cupy.fft.fftfreq","Return the FFT sample frequencies.","cupy.fft.fftfreq(n\, d=1.0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fftfreq.html#cupy.fft.fftfreq","numpy.fft.fftfreq()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.fft.fftfreq.html#numpy.fft.fftfreq"
"cupy.fft.fftn","Compute the N-dimensional FFT.","cupy.fft.fftn(a\, s=None\, axes=None\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fftn.html#cupy.fft.fftn","numpy.fft.fftn()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.fft.fftn.html#numpy.fft.fftn"
"cupy.fft.fftshift","Shift the zero-frequency component to the center of the spectrum.","cupy.fft.fftshift(x\, axes=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.fftshift.html#cupy.fft.fftshift","numpy.fft.fftshift()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.fft.fftshift.html#numpy.fft.fftshift"
"cupy.fft.hfft","Compute the FFT of a signal that has Hermitian symmetry.","cupy.fft.hfft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.hfft.html#cupy.fft.hfft","numpy.fft.hfft()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.fft.hfft.html#numpy.fft.hfft"
"cupy.fft.ifft","Compute the one-dimensional inverse FFT.","cupy.fft.ifft(a\, n=None\, axis=-1\, norm=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.fft.ifft.html#cupy.fft.ifft","numpy.fft.ifft()","https://docs.scipy.org/doc/numpy/reference/generated/numpy.fft.ifft.html#numpy.fft.ifft"
